Deltager;Gren;Profiside 1;Profilside 2;Profilside 3;Blogg
Lars Bystøl;Hopp;http://pub.tv2.no/nettavisen/sport/torino2006/article547138.ece;http://www.nrk.no/sport/meisterskap/torino_2006/5446100.html;;
Tommy Ingebrigtsen;Hopp;http://pub.tv2.no/nettavisen/sport/torino2006/article547198.ece;;;
Roar Ljøkelsøy;Hopp;http://pub.tv2.no/nettavisen/sport/torino2006/article547127.ece;http://www.nrk.no/sport/meisterskap/torino_2006/5446001.html;;
Sigurd Pettersen;Hopp;http://pub.tv2.no/nettavisen/sport/torino2006/article547188.ece;;;
Bjørn Einar Romøren;Hopp;http://pub.tv2.no/nettavisen/sport/torino2006/article547132.ece;http://www.nrk.no/sport/meisterskap/torino_2006/5446094.html;;
Kjetil André Aamodt;Alpint;http://pub.tv2.no/nettavisen/sport/torino2006/article547668.ece;;;
Hans Petter Buraas;Alpint;http://pub.tv2.no/nettavisen/sport/torino2006/article547671.ece;;;
Kjetil Jansrud;Alpint;http://pub.tv2.no/nettavisen/sport/torino2006/article547672.ece;;;
Lasse Kjus;Alpint;http://pub.tv2.no/nettavisen/sport/torino2006/article547673.ece;;;
Lars Myhre;Alpint;http://pub.tv2.no/nettavisen/sport/torino2006/article547675.ece;;;
Bjarne Solbakken;Alpint;http://pub.tv2.no/nettavisen/sport/torino2006/article547676.ece;;;
Aksel Lund Svindal;Alpint;http://pub.tv2.no/nettavisen/sport/torino2006/article547677.ece;;;
Ingrid Berntsen;Freestyle;http://pub.tv2.no/nettavisen/sport/torino2006/article547145.ece;;;
Kari Traa;Freestyle;http://pub.tv2.no/nettavisen/sport/torino2006/article547139.ece;http://www.nrk.no/sport/meisterskap/torino_2006/5385701.html;;
Desiree Bjerke;Skeleton;;;;
Gunn Margit Andreassen;Skiskyting;http://pub.tv2.no/nettavisen/sport/torino2006/article537659.ece;
Tora Berger;Skiskyting;http://pub.tv2.no/nettavisen/sport/torino2006/article537662.ece;
Gro Marit Istad Kristiansen;Skiskyting;http://pub.tv2.no/nettavisen/sport/torino2006/article537669.ece;
Liv Grete Skjelbreid Poirée;Skiskyting;http://pub.tv2.no/nettavisen/sport/torino2006/article537671.ece;http://www.nrk.no/sport/meisterskap/torino_2006/5446201.html
Linda Tjørhom;Skiskyting;http://pub.tv2.no/nettavisen/sport/torino2006/article537675.ece;http://www.nrk.no/sport/meisterskap/torino_2006/5446193.html
Frode Andresen;Skiskyting;http://pub.tv2.no/nettavisen/sport/torino2006/article537676.ece;
Lars Berger;Skiskyting;http://pub.tv2.no/nettavisen/sport/torino2006/article537677.ece;
Ole Einar Bjørndalen;Skiskyting;http://pub.tv2.no/nettavisen/sport/torino2006/article537678.ece;http://www.nrk.no/sport/meisterskap/torino_2006/5446168.html
Stian Eckhoff;Skiskyting;http://pub.tv2.no/nettavisen/sport/torino2006/article537681.ece;
Halvard Hanevold;Skiskyting;http://pub.tv2.no/nettavisen/sport/torino2006/article537683.ece;http://www.nrk.no/sport/meisterskap/torino_2006/5446180.html
Emil Hegle Svendsen;Skiskyting;http://pub.tv2.no/nettavisen/sport/torino2006/article537684.ece;
Ola Vigen Hattestad;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article537516.ece;
Tor Arne Hetland;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article532024.ece;
Trond Iversen;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article537527.ece;
Johann Kjølstad;Langrenn;http://pub.tv2.no/nettavisen/sport/torino2006/article537511.ece;
